commit,dataset,regime,centres,arm,query_type,k,radius,repetition,query_count,construction_time_ms,adapt_time_ms,total_query_time_ms,mean_query_time_ms,median_query_time_ms,p95_query_time_ms,std_query_time_ms,mean_distances,mean_index_distances,mean_leaf_distances,mean_reads,mean_writes,mean_nodes_entered,mean_leaves_entered,mean_subtrees_pruned,mean_tau_updates,mean_queue_pops,mean_queue_pops_discarded,mean_result_size,adapt_distances,adapt_reads,adapt_writes,objects_relocated,reverse_relocations,radius_shrink_total,tree_height,node_count,num_objects,index_size_bytes,correct_results,page_size,seed
5ede674,brcities5507,concentrado,2,original,knn,10,0.5,0,100,89.0839,0,14.084,0.14084,0.13855,0.15863,0.013263,370.12,168.66,201.46,68.22,0,68.22,43.22,290.18,41.38,82.82,15.6,10,0,0,0,0,0,0,4,393,5507,403456,1,1024,42
5ede674,brcities5507,concentrado,2,slimdown,knn,10,0.5,0,100,92.3282,3.847,12.8974,0.128974,0.12595,0.156255,0.0143614,358.94,160.95,197.99,63.45,0,63.45,38.45,279.59,37.35,78.41,15.96,10,0,0,0,0,0,0,4,378,5507,403456,1,1024,42
5ede674,brcities5507,concentrado,2,etapa1,knn,10,0.5,0,100,88.1118,18.7577,12.4889,0.124889,0.1229,0.140945,0.0104473,369.98,167.56,202.42,66.27,0,66.27,41.27,292.03,41.18,80.97,15.7,10,24846,8398,774,1083,812,16.2229,4,393,5507,403456,1,1024,42
5ede674,brcities5507,concentrado,2,etapa2,knn,10,0.5,0,100,88.5519,102.007,4.3205,0.043205,0.04365,0.05742,0.008705,125.09,60.26,64.83,19.8,0,19.8,7.79,118.2,22.28,41.81,23.01,10,0,0,0,0,0,0,4,482,5507,494592,1,1024,42
5ede674,brcities5507,concentrado,2,etapa2_data,knn,10,0.5,0,100,89.2658,94.767,4.6898,0.046898,0.0474,0.05838,0.00794703,153.1,70.51,82.59,20.67,0,20.67,10.42,89.41,33.58,38.94,19.27,10,0,0,0,0,0,0,4,465,5507,1.84467e+19,1,1024,42
5ede674,brcities5507,concentrado,2,original,range,10,0.5,0,100,87.8729,0,12.3215,0.123215,0.1216,0.143675,0.0118893,279.79,151.05,128.74,66.01,0,66.01,41.01,307.99,0,0,0,12.77,0,0,0,0,0,0,4,393,5507,403456,1,1024,42
5ede674,brcities5507,concentrado,2,slimdown,range,10,0.5,0,100,81.5771,2.4434,10.6469,0.106469,0.1067,0.121805,0.0100882,269.26,141.35,127.91,60.96,0,60.96,35.96,298.04,0,0,0,12.77,0,0,0,0,0,0,4,378,5507,403456,1,1024,42
5ede674,brcities5507,concentrado,2,etapa1,range,10,0.5,0,100,80.8563,17.9414,10.9123,0.109123,0.1095,0.121345,0.00971312,281.14,149.95,131.19,63.91,0,63.91,38.91,310.09,0,0,0,12.77,23120,7856,754,1073,770,16.2021,4,393,5507,403456,1,1024,42
5ede674,brcities5507,concentrado,2,etapa2,range,10,0.5,0,100,89.918,105.768,3.5558,0.035558,0.03565,0.041965,0.00503513,88.12,43.59,44.53,18,0,18,6.22,139.56,0,0,0,12.77,0,0,0,0,0,0,4,482,5507,494592,1,1024,42
5ede674,brcities5507,concentrado,2,etapa2_data,range,10,0.5,0,100,107.811,97.0671,3.1713,0.031713,0.03145,0.03662,0.00335323,97.28,50.1,47.18,16.22,0,16.22,7.01,99.36,0,0,0,12.77,0,0,0,0,0,0,4,465,5507,1.84467e+19,1,1024,42
5ede674,brcities5507,disperso,8,original,knn,10,0.5,0,100,86.6913,0,9.2796,0.092796,0.0919,0.1383,0.0290323,274.84,126.73,148.11,46.31,0,46.31,25,252.65,29.65,60.25,14.94,10,0,0,0,0,0,0,4,393,5507,403456,1,1024,42
5ede674,brcities5507,disperso,8,slimdown,knn,10,0.5,0,100,103.912,4.7716,13.7075,0.137075,0.12445,0.21338,0.0801224,274.46,121.52,152.94,44.41,0,44.41,23.2,240.81,27.36,58.43,15.02,10,0,0,0,0,0,0,4,378,5507,403456,1,1024,42
5ede674,brcities5507,disperso,8,etapa1,knn,10,0.5,0,100,82.322,18.417,8.6711,0.086711,0.08715,0.12977,0.027123,273.68,125.37,148.31,45.44,0,45.44,24.13,253.25,28.64,59.65,15.21,10,23720,8769,529,557,203,28.7503,4,393,5507,403456,1,1024,42
5ede674,brcities5507,disperso,8,etapa2,knn,10,0.5,0,100,94.0079,107.363,3.1551,0.031551,0.03145,0.04642,0.00857622,89.47,41.93,47.54,13.44,0,13.44,5.33,55.26,13.26,30.51,18.07,10,0,0,0,0,0,0,4,488,5507,500736,1,1024,42
5ede674,brcities5507,disperso,8,etapa2_data,knn,10,0.5,0,100,98.0512,91.4397,3.7079,0.037079,0.0354,0.052185,0.00928564,126.37,64.14,62.23,17.65,0,17.65,8.18,92.11,20.91,39.48,22.83,10,0,0,0,0,0,0,4,466,5507,1.84467e+19,1,1024,42
5ede674,brcities5507,disperso,8,original,range,10,0.5,0,100,83.7511,0,6.9774,0.069774,0.06395,0.11853,0.030016,164.94,101.83,63.11,40.92,0,40.92,20.49,258.95,0,0,0,5.86,0,0,0,0,0,0,4,393,5507,403456,1,1024,42
5ede674,brcities5507,disperso,8,slimdown,range,10,0.5,0,100,85.7414,2.5746,7.1022,0.071022,0.06495,0.11808,0.0298298,161.79,96.59,65.2,39.15,0,39.15,18.85,247.36,0,0,0,5.86,0,0,0,0,0,0,4,378,5507,403456,1,1024,42
5ede674,brcities5507,disperso,8,etapa1,range,10,0.5,0,100,82.6322,15.1797,6.8379,0.068379,0.0628,0.115705,0.0295588,165.28,100.83,64.45,40.37,0,40.37,19.94,259.5,0,0,0,5.86,18517,7356,422,446,125,22.6209,4,393,5507,403456,1,1024,42
5ede674,brcities5507,disperso,8,etapa2,range,10,0.5,0,100,85.1321,99.9497,2.2607,0.022607,0.0175,0.03803,0.00931836,47.78,26.43,21.35,11.86,0,11.86,3.95,72.71,0,0,0,5.86,0,0,0,0,0,0,4,488,5507,500736,1,1024,42
5ede674,brcities5507,disperso,8,etapa2_data,range,10,0.5,0,100,87.7902,96.077,2.7634,0.027634,0.026,0.042705,0.00907876,64.47,40.06,24.41,14.74,0,14.74,5.76,111.92,0,0,0,5.86,0,0,0,0,0,0,4,466,5507,1.84467e+19,1,1024,42
5ede674,brcities5507,uniforme,0,original,knn,10,0.5,0,100,85.8836,0,14.0936,0.140936,0.1386,0.180715,0.0243293,406.53,180.32,226.21,73.55,0,73.55,48.85,276.9,36.51,86.85,14.3,10,0,0,0,0,0,0,4,393,5507,403456,1,1024,42
5ede674,brcities5507,uniforme,0,slimdown,knn,10,0.5,0,100,93.0169,4.792,17.4986,0.174986,0.16965,0.253385,0.0462991,391.22,168.49,222.73,67.8,0,67.8,43.15,267.39,33.17,81.2,14.4,10,0,0,0,0,0,0,4,378,5507,403456,1,1024,42
5ede674,brcities5507,uniforme,0,etapa1,knn,10,0.5,0,100,82.5951,19.4599,15.1092,0.151092,0.1447,0.196825,0.0369753,394.05,177.04,217.01,71.1,0,71.1,46.4,278.86,35.14,84.89,14.79,10,24674,7091,1414,1505,463,54.4131,4,393,5507,403456,1,1024,42
5ede674,brcities5507,uniforme,0,etapa2,knn,10,0.5,0,100,107.644,116.838,6.0091,0.060091,0.06065,0.07953,0.0129693,157.99,81.36,76.63,25.85,0,25.85,11.23,139.36,25.75,42.49,17.64,10,0,0,0,0,0,0,4,475,5507,487424,1,1024,42
5ede674,brcities5507,uniforme,0,etapa2_data,knn,10,0.5,0,100,88.1686,97.5663,4.7215,0.047215,0.04675,0.066465,0.00932574,135.52,66.83,68.69,21.4,0,21.4,9.28,116.46,21.75,38.3,17.9,10,0,0,0,0,0,0,4,465,5507,1.84467e+19,1,1024,42
5ede674,brcities5507,uniforme,0,original,range,10,0.5,0,100,85.3031,0,13.5135,0.135135,0.1358,0.17816,0.0269524,356.36,165.88,190.48,72.14,0,72.14,47.37,293.65,0,0,0,21.72,0,0,0,0,0,0,4,393,5507,403456,1,1024,42
5ede674,brcities5507,uniforme,0,slimdown,range,10,0.5,0,100,86.9092,2.6583,12.851,0.12851,0.13035,0.16629,0.0240143,342.03,153.41,188.62,66.38,0,66.38,41.68,283.9,0,0,0,21.72,0,0,0,0,0,0,4,378,5507,403456,1,1024,42
5ede674,brcities5507,uniforme,0,etapa1,range,10,0.5,0,100,81.3743,18.941,12.3335,0.123335,0.1216,0.16483,0.0249744,345.96,161.86,184.1,69.52,0,69.52,44.75,296.27,0,0,0,21.72,24765,6896,1419,1495,482,58.7622,4,393,5507,403456,1,1024,42
5ede674,brcities5507,uniforme,0,etapa2,range,10,0.5,0,100,86.2481,99.5806,4.9095,0.049095,0.05255,0.066825,0.0120426,134.98,69.09,65.89,24.69,0,24.69,10.39,155.21,0,0,0,21.72,0,0,0,0,0,0,4,475,5507,487424,1,1024,42
5ede674,brcities5507,uniforme,0,etapa2_data,range,10,0.5,0,100,84.5666,94.2193,4.5184,0.045184,0.04615,0.0606,0.0105977,124.27,57.92,66.35,21.32,0,21.32,9.31,132.65,0,0,0,21.72,0,0,0,0,0,0,4,465,5507,1.84467e+19,1,1024,42
5ede674,brcities5507,disperso,8,original,knn,10,0.5,1,100,88.3618,0,9.3153,0.093153,0.0916,0.14556,0.0301168,274.84,126.73,148.11,46.31,0,46.31,25,252.65,29.65,60.25,14.94,10,0,0,0,0,0,0,4,393,5507,403456,1,1024,42
5ede674,brcities5507,disperso,8,slimdown,knn,10,0.5,1,100,100.37,3.2895,9.52,0.0952,0.0913,0.14056,0.0282059,274.46,121.52,152.94,44.41,0,44.41,23.2,240.81,27.36,58.43,15.02,10,0,0,0,0,0,0,4,378,5507,403456,1,1024,42
5ede674,brcities5507,disperso,8,etapa1,knn,10,0.5,1,100,85.7259,19.2939,9.1434,0.091434,0.08965,0.13759,0.0285568,273.68,125.37,148.31,45.44,0,45.44,24.13,253.25,28.64,59.65,15.21,10,23720,8769,529,557,203,28.7503,4,393,5507,403456,1,1024,42
5ede674,brcities5507,disperso,8,etapa2,knn,10,0.5,1,100,87.0506,101.483,2.9049,0.029049,0.02885,0.044015,0.00850115,89.47,41.93,47.54,13.44,0,13.44,5.33,55.26,13.26,30.51,18.07,10,0,0,0,0,0,0,4,488,5507,500736,1,1024,42
5ede674,brcities5507,disperso,8,etapa2_data,knn,10,0.5,1,100,91.6326,99.9025,3.9625,0.039625,0.0386,0.05573,0.00985438,126.37,64.14,62.23,17.65,0,17.65,8.18,92.11,20.91,39.48,22.83,10,0,0,0,0,0,0,4,466,5507,1.84467e+19,1,1024,42
5ede674,brcities5507,disperso,8,original,range,10,0.5,1,100,85.2481,0,7.5233,0.075233,0.0657,0.123025,0.0300644,164.94,101.83,63.11,40.92,0,40.92,20.49,258.95,0,0,0,5.86,0,0,0,0,0,0,4,393,5507,403456,1,1024,42
5ede674,brcities5507,disperso,8,slimdown,range,10,0.5,1,100,87.0677,2.9881,7.2348,0.072348,0.0695,0.116505,0.0290342,161.79,96.59,65.2,39.15,0,39.15,18.85,247.36,0,0,0,5.86,0,0,0,0,0,0,4,378,5507,403456,1,1024,42
5ede674,brcities5507,disperso,8,etapa1,range,10,0.5,1,100,86.4398,14.9631,6.8414,0.068414,0.0632,0.1153,0.0288669,165.28,100.83,64.45,40.37,0,40.37,19.94,259.5,0,0,0,5.86,18517,7356,422,446,125,22.6209,4,393,5507,403456,1,1024,42
5ede674,brcities5507,disperso,8,etapa2,range,10,0.5,1,100,84.8981,99.1048,2.2483,0.022483,0.0172,0.03781,0.00922091,47.78,26.43,21.35,11.86,0,11.86,3.95,72.71,0,0,0,5.86,0,0,0,0,0,0,4,488,5507,500736,1,1024,42
5ede674,brcities5507,disperso,8,etapa2_data,range,10,0.5,1,100,92.3666,93.7307,2.8216,0.028216,0.02725,0.042615,0.00902517,64.47,40.06,24.41,14.74,0,14.74,5.76,111.92,0,0,0,5.86,0,0,0,0,0,0,4,466,5507,1.84467e+19,1,1024,42
5ede674,brcities5507,uniforme,0,original,knn,10,0.5,1,100,86.097,0,14.708,0.14708,0.1468,0.185525,0.0242979,406.53,180.32,226.21,73.55,0,73.55,48.85,276.9,36.51,86.85,14.3,10,0,0,0,0,0,0,4,393,5507,403456,1,1024,42
5ede674,brcities5507,uniforme,0,slimdown,knn,10,0.5,1,100,88.39,3.065,12.913,0.12913,0.1289,0.16104,0.0213408,391.22,168.49,222.73,67.8,0,67.8,43.15,267.39,33.17,81.2,14.4,10,0,0,0,0,0,0,4,378,5507,403456,1,1024,42
5ede674,brcities5507,uniforme,0,etapa1,knn,10,0.5,1,100,89.2378,20.6276,14.2094,0.142094,0.1409,0.1813,0.0251902,394.05,177.04,217.01,71.1,0,71.1,46.4,278.86,35.14,84.89,14.79,10,24674,7091,1414,1505,463,54.4131,4,393,5507,403456,1,1024,42
5ede674,brcities5507,uniforme,0,etapa2,knn,10,0.5,1,100,92.8073,103.097,5.5758,0.055758,0.0558,0.07139,0.0112863,157.99,81.36,76.63,25.85,0,25.85,11.23,139.36,25.75,42.49,17.64,10,0,0,0,0,0,0,4,475,5507,487424,1,1024,42
5ede674,brcities5507,uniforme,0,etapa2_data,knn,10,0.5,1,100,82.3702,90.3671,4.3494,0.043494,0.04285,0.0593,0.00870345,135.52,66.83,68.69,21.4,0,21.4,9.28,116.46,21.75,38.3,17.9,10,0,0,0,0,0,0,4,465,5507,1.84467e+19,1,1024,42
5ede674,brcities5507,uniforme,0,original,range,10,0.5,1,100,84.7157,0,13.4322,0.134322,0.13545,0.17674,0.0266117,356.36,165.88,190.48,72.14,0,72.14,47.37,293.65,0,0,0,21.72,0,0,0,0,0,0,4,393,5507,403456,1,1024,42
5ede674,brcities5507,uniforme,0,slimdown,range,10,0.5,1,100,86.4535,2.7708,12.6159,0.126159,0.12755,0.16346,0.0232001,342.03,153.41,188.62,66.38,0,66.38,41.68,283.9,0,0,0,21.72,0,0,0,0,0,0,4,378,5507,403456,1,1024,42
5ede674,brcities5507,uniforme,0,etapa1,range,10,0.5,1,100,83.0394,18.7843,12.4824,0.124824,0.1252,0.167175,0.0250579,345.96,161.86,184.1,69.52,0,69.52,44.75,296.27,0,0,0,21.72,24765,6896,1419,1495,482,58.7622,4,393,5507,403456,1,1024,42
5ede674,brcities5507,uniforme,0,etapa2,range,10,0.5,1,100,87.8052,102.255,5.1282,0.051282,0.05445,0.068655,0.0132133,134.98,69.09,65.89,24.69,0,24.69,10.39,155.21,0,0,0,21.72,0,0,0,0,0,0,4,475,5507,487424,1,1024,42
5ede674,brcities5507,uniforme,0,etapa2_data,range,10,0.5,1,100,88.3621,95.8815,4.4674,0.044674,0.0448,0.060855,0.0109861,124.27,57.92,66.35,21.32,0,21.32,9.31,132.65,0,0,0,21.72,0,0,0,0,0,0,4,465,5507,1.84467e+19,1,1024,42
5ede674,brcities5507,concentrado,2,original,knn,10,0.5,1,100,82.999,0,13.452,0.13452,0.13235,0.1518,0.00961994,370.12,168.66,201.46,68.22,0,68.22,43.22,290.18,41.38,82.82,15.6,10,0,0,0,0,0,0,4,393,5507,403456,1,1024,42
5ede674,brcities5507,concentrado,2,slimdown,knn,10,0.5,1,100,81.6983,2.9407,13.3351,0.133351,0.121,0.20651,0.03363,358.94,160.95,197.99,63.45,0,63.45,38.45,279.59,37.35,78.41,15.96,10,0,0,0,0,0,0,4,378,5507,403456,1,1024,42
5ede674,brcities5507,concentrado,2,etapa1,knn,10,0.5,1,100,87.2797,20.8039,13.1731,0.131731,0.13095,0.14634,0.0094486,369.98,167.56,202.42,66.27,0,66.27,41.27,292.03,41.18,80.97,15.7,10,24846,8398,774,1083,812,16.2229,4,393,5507,403456,1,1024,42
5ede674,brcities5507,concentrado,2,etapa2,knn,10,0.5,1,100,97.0991,101.987,4.3171,0.043171,0.04275,0.05651,0.00797317,125.09,60.26,64.83,19.8,0,19.8,7.79,118.2,22.28,41.81,23.01,10,0,0,0,0,0,0,4,482,5507,494592,1,1024,42
5ede674,brcities5507,concentrado,2,etapa2_data,knn,10,0.5,1,100,86.1825,95.6884,4.7633,0.047633,0.0488,0.05867,0.00850624,153.1,70.51,82.59,20.67,0,20.67,10.42,89.41,33.58,38.94,19.27,10,0,0,0,0,0,0,4,465,5507,1.84467e+19,1,1024,42
5ede674,brcities5507,concentrado,2,original,range,10,0.5,1,100,86.235,0,11.9644,0.119644,0.12055,0.13304,0.00933684,279.79,151.05,128.74,66.01,0,66.01,41.01,307.99,0,0,0,12.77,0,0,0,0,0,0,4,393,5507,403456,1,1024,42
5ede674,brcities5507,concentrado,2,slimdown,range,10,0.5,1,100,83.0334,2.4737,10.9498,0.109498,0.10905,0.122945,0.00874093,269.26,141.35,127.91,60.96,0,60.96,35.96,298.04,0,0,0,12.77,0,0,0,0,0,0,4,378,5507,403456,1,1024,42
