commit,dataset,regime,query_type,repetition,adapt_queries_so_far,cum_adapt_distances,cum_adapt_reads,cum_adapt_writes,cum_adapt_ms,measure_total_distances,measure_total_reads,measure_total_ms,baseline_total_distances,baseline_total_reads,baseline_total_ms
5ede674,brcities5507,concentrado,knn,0,50,5579,2068,208,4.6389,37165,6711,12.0835,37012,6822,14.084
5ede674,brcities5507,concentrado,knn,0,100,9910,3668,404,8.3591,37003,6627,12.0498,37012,6822,14.084
5ede674,brcities5507,concentrado,knn,0,150,16535,5926,555,13.1517,36998,6627,12.7359,37012,6822,14.084
5ede674,brcities5507,concentrado,knn,0,200,24846,8398,774,18.7577,36998,6627,12.082,37012,6822,14.084
5ede674,brcities5507,concentrado,range,0,50,5352,2007,195,4.7703,28227,6470,12.3527,27979,6601,12.3215
5ede674,brcities5507,concentrado,range,0,100,9832,3621,385,8.4487,28121,6391,11.3724,27979,6601,12.3215
5ede674,brcities5507,concentrado,range,0,150,14643,5333,563,12.3302,28114,6391,10.9169,27979,6601,12.3215
5ede674,brcities5507,concentrado,range,0,200,23120,7856,754,17.9414,28114,6391,10.8784,27979,6601,12.3215
5ede674,brcities5507,disperso,knn,0,50,6407,2256,198,4.991,27402,4578,8.3591,27484,4631,9.2796
5ede674,brcities5507,disperso,knn,0,100,8506,3621,246,7.569,27607,4569,8.3754,27484,4631,9.2796
5ede674,brcities5507,disperso,knn,0,150,17131,6504,419,13.5972,27342,4547,8.305,27484,4631,9.2796
5ede674,brcities5507,disperso,knn,0,200,23720,8769,529,18.417,27368,4544,8.1793,27484,4631,9.2796
5ede674,brcities5507,disperso,range,0,50,5078,1883,185,4.3499,16583,4063,6.8224,16494,4092,6.9774
5ede674,brcities5507,disperso,range,0,100,6128,2803,203,6.0164,16585,4055,7.1326,16494,4092,6.9774
5ede674,brcities5507,disperso,range,0,150,13073,5353,317,11.0427,16546,4040,6.9574,16494,4092,6.9774
5ede674,brcities5507,disperso,range,0,200,18517,7356,422,15.1797,16528,4037,6.95,16494,4092,6.9774
5ede674,brcities5507,uniforme,knn,0,50,4726,1372,359,3.9636,40236,7276,14.6166,40653,7355,14.0936
5ede674,brcities5507,uniforme,knn,0,100,11444,3240,730,9.0173,40010,7236,14.0658,40653,7355,14.0936
5ede674,brcities5507,uniforme,knn,0,150,17803,5131,1078,14.021,39698,7141,13.2152,40653,7355,14.0936
5ede674,brcities5507,uniforme,knn,0,200,24674,7091,1414,19.4599,39405,7110,14.3047,40653,7355,14.0936
5ede674,brcities5507,uniforme,range,0,50,4443,1289,354,3.7798,35201,7109,12.6074,35636,7214,13.5135
5ede674,brcities5507,uniforme,range,0,100,11098,3095,726,8.7598,35080,7065,13.1966,35636,7214,13.5135
5ede674,brcities5507,uniforme,range,0,150,17795,4974,1104,13.9467,34835,6995,12.6228,35636,7214,13.5135
5ede674,brcities5507,uniforme,range,0,200,24765,6896,1419,18.941,34596,6952,12.1735,35636,7214,13.5135
5ede674,brcities5507,disperso,knn,1,50,6407,2256,198,5.0181,27402,4578,8.453,27484,4631,9.3153
5ede674,brcities5507,disperso,knn,1,100,8506,3621,246,7.7004,27607,4569,8.9058,27484,4631,9.3153
5ede674,brcities5507,disperso,knn,1,150,17131,6504,419,14.31,27342,4547,9.4749,27484,4631,9.3153
5ede674,brcities5507,disperso,knn,1,200,23720,8769,529,19.2939,27368,4544,9.1345,27484,4631,9.3153
5ede674,brcities5507,disperso,range,1,50,5078,1883,185,4.0886,16583,4063,6.8817,16494,4092,7.5233
5ede674,brcities5507,disperso,range,1,100,6128,2803,203,5.7247,16585,4055,6.9831,16494,4092,7.5233
5ede674,brcities5507,disperso,range,1,150,13073,5353,317,10.7951,16546,4040,6.9704,16494,4092,7.5233
5ede674,brcities5507,disperso,range,1,200,18517,7356,422,14.9631,16528,4037,6.8512,16494,4092,7.5233
5ede674,brcities5507,uniforme,knn,1,50,4726,1372,359,4.3325,40236,7276,14.4309,40653,7355,14.708
5ede674,brcities5507,uniforme,knn,1,100,11444,3240,730,9.7914,40010,7236,14.6826,40653,7355,14.708
5ede674,brcities5507,uniforme,knn,1,150,17803,5131,1078,15.1677,39698,7141,14.2462,40653,7355,14.708
5ede674,brcities5507,uniforme,knn,1,200,24674,7091,1414,20.6276,39405,7110,14.0329,40653,7355,14.708
5ede674,brcities5507,uniforme,range,1,50,4443,1289,354,3.8413,35201,7109,12.8417,35636,7214,13.4322
5ede674,brcities5507,uniforme,range,1,100,11098,3095,726,8.6014,35080,7065,12.6786,35636,7214,13.4322
5ede674,brcities5507,uniforme,range,1,150,17795,4974,1104,13.6726,34835,6995,12.6234,35636,7214,13.4322
5ede674,brcities5507,uniforme,range,1,200,24765,6896,1419,18.7843,34596,6952,12.6201,35636,7214,13.4322
5ede674,brcities5507,concentrado,knn,1,50,5579,2068,208,5.0728,37165,6711,13.6159,37012,6822,13.452
5ede674,brcities5507,concentrado,knn,1,100,9910,3668,404,9.1124,37003,6627,13.0695,37012,6822,13.452
5ede674,brcities5507,concentrado,knn,1,150,16535,5926,555,14.3487,36998,6627,13.0277,37012,6822,13.452
5ede674,brcities5507,concentrado,knn,1,200,24846,8398,774,20.8039,36998,6627,14.3622,37012,6822,13.452
5ede674,brcities5507,concentrado,range,1,50,5352,2007,195,4.4658,28227,6470,11.166,27979,6601,11.9644
5ede674,brcities5507,concentrado,range,1,100,9832,3621,385,8.1251,28121,6391,11.2553,27979,6601,11.9644
5ede674,brcities5507,concentrado,range,1,150,14643,5333,563,12.3007,28114,6391,11.572,27979,6601,11.9644
5ede674,brcities5507,concentrado,range,1,200,23120,7856,754,18.3639,28114,6391,11.5719,27979,6601,11.9644
5ede674,brcities5507,uniforme,knn,2,50,4726,1372,359,5.9551,40236,7276,16.5857,40653,7355,14.2315
5ede674,brcities5507,uniforme,knn,2,100,11444,3240,730,13.2207,40010,7236,14.859,40653,7355,14.2315
5ede674,brcities5507,uniforme,knn,2,150,17803,5131,1078,19.0457,39698,7141,14.5479,40653,7355,14.2315
5ede674,brcities5507,uniforme,knn,2,200,24674,7091,1414,25.1473,39405,7110,14.8847,40653,7355,14.2315
5ede674,brcities5507,uniforme,range,2,50,4443,1289,354,3.831,35201,7109,12.8749,35636,7214,13.8233
5ede674,brcities5507,uniforme,range,2,100,11098,3095,726,8.9126,35080,7065,13.3225,35636,7214,13.8233
5ede674,brcities5507,uniforme,range,2,150,17795,4974,1104,14.2409,34835,6995,12.6415,35636,7214,13.8233
5ede674,brcities5507,uniforme,range,2,200,24765,6896,1419,19.2756,34596,6952,12.3041,35636,7214,13.8233
5ede674,brcities5507,concentrado,knn,2,50,5579,2068,208,4.9714,37165,6711,13.2143,37012,6822,12.7145
5ede674,brcities5507,concentrado,knn,2,100,9910,3668,404,8.9417,37003,6627,12.9615,37012,6822,12.7145
5ede674,brcities5507,concentrado,knn,2,150,16535,5926,555,14.163,36998,6627,12.9279,37012,6822,12.7145
5ede674,brcities5507,concentrado,knn,2,200,24846,8398,774,20.1769,36998,6627,12.9365,37012,6822,12.7145
5ede674,brcities5507,concentrado,range,2,50,5352,2007,195,4.5787,28227,6470,11.5251,27979,6601,11.3625
5ede674,brcities5507,concentrado,range,2,100,9832,3621,385,8.2902,28121,6391,11.5024,27979,6601,11.3625
5ede674,brcities5507,concentrado,range,2,150,14643,5333,563,12.1772,28114,6391,11.0021,27979,6601,11.3625
5ede674,brcities5507,concentrado,range,2,200,23120,7856,754,17.9272,28114,6391,10.9873,27979,6601,11.3625
5ede674,brcities5507,disperso,knn,2,50,6407,2256,198,4.9687,27402,4578,8.8687,27484,4631,8.9759
5ede674,brcities5507,disperso,knn,2,100,8506,3621,246,7.5083,27607,4569,8.5462,27484,4631,8.9759
5ede674,brcities5507,disperso,knn,2,150,17131,6504,419,13.5252,27342,4547,8.4373,27484,4631,8.9759
5ede674,brcities5507,disperso,knn,2,200,23720,8769,529,19.3418,27368,4544,8.3643,27484,4631,8.9759
5ede674,brcities5507,disperso,range,2,50,5078,1883,185,4.4887,16583,4063,7.2167,16494,4092,7.148
5ede674,brcities5507,disperso,range,2,100,6128,2803,203,6.2552,16585,4055,7.0032,16494,4092,7.148
5ede674,brcities5507,disperso,range,2,150,13073,5353,317,11.7451,16546,4040,7.2522,16494,4092,7.148
5ede674,brcities5507,disperso,range,2,200,18517,7356,422,16.2224,16528,4037,7.259,16494,4092,7.148
5ede674,brcities5507,concentrado,knn,3,50,5579,2068,208,4.593,37165,6711,12.418,37012,6822,13.3924
5ede674,brcities5507,concentrado,knn,3,100,9910,3668,404,8.3329,37003,6627,11.982,37012,6822,13.3924
5ede674,brcities5507,concentrado,knn,3,150,16535,5926,555,13.2281,36998,6627,12.398,37012,6822,13.3924
5ede674,brcities5507,concentrado,knn,3,200,24846,8398,774,18.8604,36998,6627,12.2786,37012,6822,13.3924
5ede674,brcities5507,concentrado,range,3,50,5352,2007,195,4.6586,28227,6470,11.2759,27979,6601,12.3346
5ede674,brcities5507,concentrado,range,3,100,9832,3621,385,8.306,28121,6391,11.1153,27979,6601,12.3346
5ede674,brcities5507,concentrado,range,3,150,14643,5333,563,12.2174,28114,6391,10.9964,27979,6601,12.3346
5ede674,brcities5507,concentrado,range,3,200,23120,7856,754,18.0367,28114,6391,11.328,27979,6601,12.3346
5ede674,brcities5507,disperso,knn,3,50,6407,2256,198,5.3435,27402,4578,8.9828,27484,4631,9.8124
5ede674,brcities5507,disperso,knn,3,100,8506,3621,246,8.2045,27607,4569,8.977,27484,4631,9.8124
5ede674,brcities5507,disperso,knn,3,150,17131,6504,419,14.5851,27342,4547,8.8977,27484,4631,9.8124
5ede674,brcities5507,disperso,knn,3,200,23720,8769,529,19.6296,27368,4544,9.1229,27484,4631,9.8124
5ede674,brcities5507,disperso,range,3,50,5078,1883,185,6.3142,16583,4063,8.237,16494,4092,7.4072
5ede674,brcities5507,disperso,range,3,100,6128,2803,203,8.4132,16585,4055,7.1578,16494,4092,7.4072
5ede674,brcities5507,disperso,range,3,150,13073,5353,317,13.5625,16546,4040,6.8906,16494,4092,7.4072
5ede674,brcities5507,disperso,range,3,200,18517,7356,422,18.5497,16528,4037,6.8941,16494,4092,7.4072
5ede674,brcities5507,uniforme,knn,3,50,4726,1372,359,4.2864,40236,7276,14.4427,40653,7355,13.9217
5ede674,brcities5507,uniforme,knn,3,100,11444,3240,730,9.6665,40010,7236,14.3424,40653,7355,13.9217
5ede674,brcities5507,uniforme,knn,3,150,17803,5131,1078,15.0685,39698,7141,14.2287,40653,7355,13.9217
5ede674,brcities5507,uniforme,knn,3,200,24674,7091,1414,20.6342,39405,7110,14.3033,40653,7355,13.9217
5ede674,brcities5507,uniforme,range,3,50,4443,1289,354,3.7868,35201,7109,12.4469,35636,7214,12.9501
5ede674,brcities5507,uniforme,range,3,100,11098,3095,726,8.512,35080,7065,12.4173,35636,7214,12.9501
5ede674,brcities5507,uniforme,range,3,150,17795,4974,1104,13.4062,34835,6995,12.4416,35636,7214,12.9501
5ede674,brcities5507,uniforme,range,3,200,24765,6896,1419,18.3213,34596,6952,12.4757,35636,7214,12.9501
5ede674,brcities5507,disperso,knn,4,50,6407,2256,198,5.0995,27402,4578,8.776,27484,4631,8.8808
5ede674,brcities5507,disperso,knn,4,100,8506,3621,246,7.7197,27607,4569,8.7321,27484,4631,8.8808
5ede674,brcities5507,disperso,knn,4,150,17131,6504,419,13.6902,27342,4547,9.0386,27484,4631,8.8808
5ede674,brcities5507,disperso,knn,4,200,23720,8769,529,18.8032,27368,4544,8.538,27484,4631,8.8808
5ede674,brcities5507,disperso,range,4,50,5078,1883,185,4.3633,16583,4063,6.8993,16494,4092,7.0646
5ede674,brcities5507,disperso,range,4,100,6128,2803,203,6.0147,16585,4055,6.8067,16494,4092,7.0646
5ede674,brcities5507,disperso,range,4,150,13073,5353,317,11.1917,16546,4040,6.8491,16494,4092,7.0646
5ede674,brcities5507,disperso,range,4,200,18517,7356,422,15.3847,16528,4037,6.8779,16494,4092,7.0646
5ede674,brcities5507,uniforme,knn,4,50,4726,1372,359,4.2659,40236,7276,13.9917,40653,7355,14.7257
5ede674,brcities5507,uniforme,knn,4,100,11444,3240,730,9.5331,40010,7236,14.317,40653,7355,14.7257
5ede674,brcities5507,uniforme,knn,4,150,17803,5131,1078,14.7757,39698,7141,14.0946,40653,7355,14.7257
5ede674,brcities5507,uniforme,knn,4,200,24674,7091,1414,20.2971,39405,7110,13.7819,40653,7355,14.7257
5ede674,brcities5507,uniforme,range,4,50,4443,1289,354,4.3088,35201,7109,14.1695,35636,7214,12.8552
5ede674,brcities5507,uniforme,range,4,100,11098,3095,726,9.8571,35080,7065,16.6928,35636,7214,12.8552
5ede674,brcities5507,uniforme,range,4,150,17795,4974,1104,14.8776,34835,6995,12.6575,35636,7214,12.8552
5ede674,brcities5507,uniforme,range,4,200,24765,6896,1419,19.9711,34596,6952,13.066,35636,7214,12.8552
5ede674,brcities5507,concentrado,knn,4,50,5579,2068,208,4.6382,37165,6711,12.8474,37012,6822,13.9739
5ede674,brcities5507,concentrado,knn,4,100,9910,3668,404,8.4,37003,6627,12.2159,37012,6822,13.9739
5ede674,brcities5507,concentrado,knn,4,150,16535,5926,555,13.3951,36998,6627,12.8404,37012,6822,13.9739
5ede674,brcities5507,concentrado,knn,4,200,24846,8398,774,19.0716,36998,6627,12.6097,37012,6822,13.9739
5ede674,brcities5507,concentrado,range,4,50,5352,2007,195,4.4289,28227,6470,11.0554,27979,6601,12.2143
5ede674,brcities5507,concentrado,range,4,100,9832,3621,385,8.1174,28121,6391,11.1704,27979,6601,12.2143
5ede674,brcities5507,concentrado,range,4,150,14643,5333,563,12.0262,28114,6391,11.0402,27979,6601,12.2143
5ede674,brcities5507,concentrado,range,4,200,23120,7856,754,17.8555,28114,6391,11.1513,27979,6601,12.2143
