dataset,regime,query_type,k,radius,arm,repetitions,centres,query_count,construction_time_ms,adapt_time_ms,total_query_time_ms,between_rep_std_total_query_time_ms,mean_query_time_ms,between_rep_std_mean_query_time_ms,median_query_time_ms,between_rep_std_median_query_time_ms,p95_query_time_ms,std_query_time_ms,mean_distances,mean_index_distances,mean_leaf_distances,mean_reads,mean_writes,mean_nodes_entered,mean_leaves_entered,mean_subtrees_pruned,mean_tau_updates,mean_queue_pops,mean_queue_pops_discarded,mean_result_size,adapt_distances,adapt_reads,adapt_writes,objects_relocated,reverse_relocations,radius_shrink_total,tree_height,node_count,num_objects,index_size_bytes,correct_results,page_size,seed
brcities5507,concentrado,knn,10,0.5,etapa1,5,2.0,100.0,86.07894,19.534100000000002,12.86986,0.32542561822941996,0.1286986,0.003254256182294195,0.1275,0.0033601711265946015,0.14634,0.012119920000000001,369.98,167.56,202.42,66.27,0.0,66.27,41.27,292.03,41.18,80.97,15.7,10.0,24846.0,8398.0,774.0,1083.0,812.0,16.2229,4.0,393.0,5507.0,403456.0,1.0,1024.0,42.0
brcities5507,concentrado,knn,10,0.5,etapa2,5,2.0,100.0,93.26112,105.03040000000001,4.45932,0.3409211815068111,0.0445932,0.003409211815068111,0.0431,0.0036029501800607776,0.05651,0.008532755999999999,125.09,60.260000000000005,64.83,19.8,0.0,19.8,7.790000000000001,118.2,22.28,41.81,23.01,10.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,482.0,5507.0,494592.0,1.0,1024.0,42.0
brcities5507,concentrado,knn,10,0.5,etapa2_data,5,2.0,100.0,90.74442,97.06658,4.70524,0.04400026136286024,0.0470524,0.0004400026136286019,0.0482,0.0006160357132504594,0.05832,0.007742206,153.1,70.51,82.59,20.67,0.0,20.67,10.42,89.41,33.58,38.94,19.27,10.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,465.0,5507.0,1.84467e+19,1.0,1024.0,42.0
brcities5507,concentrado,knn,10,0.5,original,5,2.0,100.0,86.35442,0.0,13.52336,0.5463059518255318,0.1352336,0.005463059518255312,0.1325,0.005206654396058954,0.1518,0.011390018,370.12,168.66,201.46,68.22,0.0,68.22,43.22,290.18,41.38,82.82,15.6,10.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,393.0,5507.0,403456.0,1.0,1024.0,42.0
brcities5507,concentrado,knn,10,0.5,slimdown,5,2.0,100.0,94.49080000000001,3.19932,13.08606,0.2195676273952975,0.1308606,0.0021956762739529703,0.12575,0.002094934366513664,0.158695,0.02261794,358.94,160.95,197.99,63.45,0.0,63.45,38.45,279.59,37.35,78.41,15.960000000000003,10.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,378.0,5507.0,403456.0,1.0,1024.0,42.0
brcities5507,concentrado,range,10,0.5,etapa1,5,2.0,100.0,81.2053,18.02494,11.103159999999999,0.1406367590639087,0.11103160000000001,0.0014063675906390881,0.11085,0.0025358430550804995,0.126315,0.010465086,281.14,149.95,131.19,63.90999999999999,0.0,63.90999999999999,38.91,310.09,0.0,0.0,0.0,12.77,23120.0,7856.0,754.0,1073.0,770.0,16.2021,4.0,393.0,5507.0,403456.0,1.0,1024.0,42.0
brcities5507,concentrado,range,10,0.5,etapa2,5,2.0,100.0,85.1569,104.95602,3.5677399999999997,0.26089672861114976,0.0356774,0.0026089672861114993,0.0356,0.0015524174696260038,0.040305,0.005322696,88.12,43.59,44.53,18.0,0.0,18.0,6.22,139.56,0.0,0.0,0.0,12.77,0.0,0.0,0.0,0.0,0.0,0.0,4.0,482.0,5507.0,494592.0,1.0,1024.0,42.0
brcities5507,concentrado,range,10,0.5,etapa2_data,5,2.0,100.0,90.0578,93.7721,3.11796,0.06632068304835236,0.031179600000000002,0.000663206830483523,0.03135,0.0007106335201775947,0.03609,0.002983982,97.28,50.1,47.18,16.22,0.0,16.22,7.01,99.36,0.0,0.0,0.0,12.77,0.0,0.0,0.0,0.0,0.0,0.0,4.0,465.0,5507.0,1.84467e+19,1.0,1024.0,42.0
brcities5507,concentrado,range,10,0.5,original,5,2.0,100.0,87.04526,0.0,12.03946,0.40655013589962036,0.12039459999999999,0.004065501358996205,0.121,0.003552569492634873,0.137675,0.012467780000000001,279.79,151.05,128.74,66.01,0.0,66.01,41.01,307.99,0.0,0.0,0.0,12.77,0.0,0.0,0.0,0.0,0.0,0.0,4.0,393.0,5507.0,403456.0,1.0,1024.0,42.0
brcities5507,concentrado,range,10,0.5,slimdown,5,2.0,100.0,85.09424,2.54832,11.019200000000001,0.26499249989386475,0.110192,0.002649924998938653,0.10975,0.0023204525420701884,0.122945,0.008746036,269.26,141.35,127.91,60.96,0.0,60.96,35.96,298.04,0.0,0.0,0.0,12.77,0.0,0.0,0.0,0.0,0.0,0.0,4.0,378.0,5507.0,403456.0,1.0,1024.0,42.0
